Kommentaar,Staatus,Pos,Neg
AMEERIKAAHVMÖRTSUKAD OKUPANDID VALLUTAVAD EESTIT .TAAVIL PERSE PÜSTI OOTAB OKUPANTE,2,3,1
Seni kuni Euroopas sigiva musta rämpsuga käiakse ümber (valgetele) inimestele mõeldud seadustega pole küll midagi paremuse poole minemas.,1,0,10
"Trummipoiss,ta kutsus ennast barabaniks,to peaks vast surnud olema.Ei mäletagi enam mis ta eesnimi oli,kas oli Vello.To oli truker ja pideval istus selle eest kinni.Kus Enn on seda küll ei tea.",2,0,2
" „Juut” valetab – tal pole aimugi, millest autism tekib, aga teab kindlalt, et see pole vaktsineerimisest …<br /> <a href=""http://www.whale.to/vaccine/vaccine_autism_proven.html"" target=""_blank"">http://www.whale.to/vaccine/vaccine_autism_proven.html</a><br /> <a href=""https://www.youtube.com/results?search_query=+Dr.+Andy+Wakefield"" target=""_blank"">https://www.youtube.com/results?search_query=+Dr.+Andy+Wakefield</a>",2,0,1
"kaks haiget inimest kellele tähelepanu on nagu narkots,kuid kas nad ka vaadatavad on sellest neil suva-peaasi et oleks pildil kas paljalt vöi riides.idikad kuubis.",2,4,6
"kus näed seatempe, näen lolli naist, kes ise andis kõik ära. Selliseid pättide armastajaid on küll.",2,2,0
Olen kindel et see plika sai tutti ja ei julge rääkida. Olge normaalsed kaks meest ei suuda 15 aastast kinni hoida. Ja kui muud ei juhtunud siis kõhu imes korralikult täis.,2,50,1
islamiusulised mehed tuleb ära kastreerida enne riigipiiri ületust .,2,0,55
"kas Kuu peale ka saaks neid daame saata, sest see oleks huvitavam ?",2,1,7
selle käega toksin ma seent,2,3,5
Mis tuust sel kristal peas on?,2,1,7
"Ilmselgelt on süüdi kalleid pagulasi ahistanud tüdruk, nende soovidele tuleb vastuvaidlematult alluda.",2,1,57
"Omavahel kinni seotud - jah, ohtlik tee paistab see tõepoolest!",2,0,2
OneMina: Honor OneMina,2,3,0
OneMina defend the Baltic states.,2,3,1
"Seejuures vähemalt kolmest mahalõigutud peast, neid ""ühe-pea"" vendi vaja pole - amatöörid alles!",1,1,65
"Etz kets savipäts ,tegi vilja ,tagus pihku , näksis peale samblasikku",2,1,2
Vanal on ehk parkinsoni tõve algstaadium käes...,1,10,11
see mida siin riigiks veel nimetatakse pole paljudele enam atraktiivne. kui siin ülbitsevad lillad ja tõmmud ning saamatud valitsejad ( ainult neile on see riigikord oluline) ei ole väga suurt muret kas midago juhtub või kas putja midagi kunagi üritab. tavarahvas saab hakkama iga riigikorra ajal ja neile on see iseseisev eesti toonud vaid pettumuse. pole üldse ime kui putja on siia oodatud.,2,7,30
Sa oled ikka täielik jobu ja tropp.,2,3,5
"NATO muretseb, Ilves ja Rõivas häbenevad, Mikser vajub maa alla. Igaüks ikka oma asja pärast mures, hehe!",2,1,48
"sa ei jõua veel sitale hakatagi, kui juba pea lendab asjalikel meestel suure kaarega kaugele ja sitahäda jääbki pooleli.",2,0,3
Pruunsärklaste ülbus ja Ojulandi vihakõned<br />on eestlased segi kamminud,2,23,2
"Tundes isiklikult selles juhtumis figureerinud naisterahva üht lähedast tuttavat, võin kindlalt väita, et ta päästis lapse vaid selleks, et viia tüdruk endaga koju oma mehele ja vendadele vägistada. Peale vägistamist raiuti tüdrukul pea otsast. Tavaline moslemite elu, mis ei peaks ületama uudiste künnist.",2,4,2
Kas millegist muust pole kirjutada? Tema ennustuste järgi pidi 2014 lõppema Euroopas 3 maailmasõda ja 2016 aastaks pidi Euroopa olema inimtühi...,1,1,21
Tolerastne sopameedia suudab ikka veel üllatada!,1,1,18
" JAH ----KA EUROOPAST-- TULI PIHKURILE KÄSK:::<br /> ET KOHE ALUSTADA 2016,,, SUUREM EESTI--- RIIGI PIIRIDELA <br /> KAITSELIIDU ABIGA KONTROLL.. ",2,5,14
"järgmisel aastal on rakveres, kui eesti kunsti mekas enda arust purgid teatava kraamiga, mida tagant tuleb... kuulsuse narrid !",2,21,6
The Neeger Band.,2,5,38
"neegrid ei ole niikuinii üle loetud nii,et mis sellest ühest närusest siis ikka:)",2,10,1
"Nimetagem ahve õieti : mustanahaline-NEEGER,roma-MUSTLANE,gay-PEDERAST!!!",2,2,9
"Keri sea perse, IDIOOT! Kasva NORMAALSEKS meheks!",2,6,7
"Vastutan sõnede eest, SIEG HEIL!",2,8,11
"krdi inimsööjad , koju marss !!",2,5,14
Keera aga tsurkale perse ette.,2,3,11
"Kõige ennem komsomolid, siis kommud! magusax nende kasvandikud, elik poliitpiidrid!",2,1,5
Fuiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,2,14,59
"kohe näha kes on õudne mära kellele meeldib kitsede,lammaste ja eeslite vägistajad.Eesti mehed hoidge sellest haiguste levitajast märast mallest eemale.",2,4,28
Too neid maale ja saad kividega loobitud...,2,6,21
"Ma olin sõjaväes Usbekistanis kohe pealinnas Taskendis ka autojuht ja parajasti tollel ajal kui Taskendis maavärin oli.Seal panid eesleid,eesel oli juba nii äraharjunud kui taguotsa taha tsurban läks eesel ajas juba jalad harku.Tatsikistanist vedasime mingisuguseid betoonvedrusid millele ehitati uued majad,et majad kokku ei variseks.Seal kaks tatsikki vägistasid emast issakki kui üks pani issakki teine kõrval ootas.No seal sai sellist pulli,to kes kõrval seisis hakkas issakil pulstunud karvu kakkuma kintsu pealt.Issak hakkas hirnuma,virutas tagujalgadega ja kollane kusi lendas.Tsurban lendas mitu meetrit ja oli üleni kollase selle mära kusega koos.Jummal jummal ,me tahsime pükse täis teha naerust.Ma tsurbannide käest küsisin,et te niimodi teete,kuidas te omale naise saate kui naine teada saab.Tsurka ütles,et naised teavad kõik sellest,et see on kõik loomulik ja nii peabki olema.Aga,et kui sa oled ennem teist naist proovinud siis ta sinuga ei abiellu ja väga raske olevat naist saada.",2,5,30
Peaasi et jõuluks kokaiini sebivad!,2,4,26
"""Dshunglist kostis kisa kära, ahv sõi neegri munad ära.....""",2,3,52
"Nad olla juba ammu sees ja tuleb aga juurde,sest tulijad korrutatakse kümnega.",2,1,0
"FOTOD | Eestis alustas tegevust esimene mustanahaliste bänd: meie eesmärk on tuua valgust igasse ruumi, kus üles astume<br /><<<<<<<<<<<<<<<<<<<<<<<<br />pärast õpingute lõppu, SIRGELT AAFRIKAT ÜLESSEEHITAMA SAATA,<br />ega siis marslased aafrikat ülesse ei ehita, ikka neegrid peavad OMA aafrika ülesseehitama",2,2,7
"saavad pigid oma tinistamise ja põristamisega tuua. See ikka rahva harjutamiseks pigikultuuriga. Varsti on Laulupidu ka pigide pidu, Ohverdavad lava ees oma kitsi.",2,2,15
millest tehakse verivorste,2,2,4
pihta,2,2,14
Valgust öösse!,2,2,13
"olen realistlik ,mitte õel.",2,3,5
